    Cod    |cp-9020217-eu
2085766
    Product link    
https://www.pcgarage.ro/surse/corsair/cx650f-rgb-80-plus-bronze-650w/
    Name    
Corsair CX650F RGB, 80+ Bronze, 650W
    Img url    
https://5.grgs.ro/images/products/1/3354/2085766/thumbnails/corsair-cx650f-rgb-power-supply-650-watt-80-plus-bronze-fully-modular-black-b740c26936b2b3874346bd4e30343146.jpg
    Pret    
9/21/2020 7:48:02 AM 522,50 RON
9/24/2020 12:57:16 PM 528,46 RON
9/25/2020 10:25:55 PM 532,96 RON
9/30/2020 8:15:58 PM 529,76 RON
10/5/2020 9:21:21 AM 528,75 RON
10/7/2020 2:51:57 PM 527,87 RON
10/15/2020 1:19:44 PM 528,75 RON
10/31/2020 1:48:41 PM 532,07 RON
11/1/2020 2:57:56 PM 534,38 RON
